keyData,data_id,dia_ehdiautil,dia_numeronasemana,dia_numeronomes,dia_numeronoano,semana_id,semana_nome,semana_texto,semana_numeronoano,mes_id,mes_nome,mes_texto,mes_numeronoano,trimestre_id,trimestre_nome,trimestre_texto,trimestre_numeronoano,semestre_id,semestre_nome,semestre_texto,semestre_numeronoano,ano_id,ano_nome,ano_texto
0,"0000-00-00 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20080101,"2008-01-01 00:00:00",1,2,1,1,200801,1,"Semana 1",1,200801,01,Jan,1,20081,Q1,"Trimestre 1",1,20081,S1,"Semestre 1",1,2008,2008,2008
20080102,"2008-01-02 00:00:00",1,3,2,2,200801,1,"Semana 1",1,200801,01,Jan,1,20081,Q1,"Trimestre 1",1,20081,S1,"Semestre 1",1,2008,2008,2008
20080103,"2008-01-03 00:00:00",1,4,3,3,200801,1,"Semana 1",1,200801,01,Jan,1,20081,Q1,"Trimestre 1",1,20081,S1,"Semestre 1",1,2008,2008,2008
20080104,"2008-01-04 00:00:00",1,5,4,4,200801,1,"Semana 1",1,200801,01,Jan,1,20081,Q1,"Trimestre 1",1,20081,S1,"Semestre 1",1,2008,2008,2008
20080105,"2008-01-05 00:00:00",0,6,5,5,200801,1,"Semana 1",1,200801,01,Jan,1,20081,Q1,"Trimestre 1",1,20081,S1,"Semestre 1",1,2008,2008,2008
20080106,"2008-01-06 00:00:00",0,7,6,6,200801,1,"Semana 1",1,200801,01,Jan,1,20081,Q1,"Trimestre 1",1,20081,S1,"Semestre 1",1,2008,2008,2008
20080107,"2008-01-07 00:00:00",1,1,7,7,200802,2,"Semana 2",2,200801,01,Jan,1,20081,Q1,"Trimestre 1",1,20081,S1,"Semestre 1",1,2008,2008,2008
20080108,"2008-01-08 00:00:00",1,2,8,8,200802,2,"Semana 2",2,200801,01,Jan,1,20081,Q1,"Trimestre 1",1,20081,S1,"Semestre 1",1,2008,2008,2008
20080109,"2008-01-09 00:00:00",1,3,9,9,200802,2,"Semana 2",2,200801,01,Jan,1,20081,Q1,"Trimestre 1",1,20081,S1,"Semestre 1",1,2008,2008,2008
20080110,"2008-01-10 00:00:00",1,4,10,10,200802,2,"Semana 2",2,200801,01,Jan,1,20081,Q1,"Trimestre 1",1,20081,S1,"Semestre 1",1,2008,2008,2008
20080111,"2008-01-11 00:00:00",1,5,11,11,200802,2,"Semana 2",2,200801,01,Jan,1,20081,Q1,"Trimestre 1",1,20081,S1,"Semestre 1",1,2008,2008,2008
20080112,"2008-01-12 00:00:00",0,6,12,12,200802,2,"Semana 2",2,200801,01,Jan,1,20081,Q1,"Trimestre 1",1,20081,S1,"Semestre 1",1,2008,2008,2008
