key,version,date_to,date_from,ano,numero,subempenho,indicador_subempenho,cod_modalidade_empenho,codigo,nome
0,1,"1970-01-01 03:00:01","2038-01-01 03:00:00",2021,1,0,x,0,0,"SEM TIPO INFORMADO"
1,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,1,85,x,0,0,"SEM TIPO INFORMADO"
2,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,1,86,x,0,1,"SEM TIPO INFORMADO"
3,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,1,87,x,0,2,"SEM TIPO INFORMADO"
4,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,1,91,x,0,3,"SEM TIPO INFORMADO"
5,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,2,83,x,0,4,"SEM TIPO INFORMADO"
6,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,2,86,x,0,5,"SEM TIPO INFORMADO"
7,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,2,89,x,0,6,"SEM TIPO INFORMADO"
8,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,2,92,x,0,7,"SEM TIPO INFORMADO"
9,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,4,81,x,0,8,"SEM TIPO INFORMADO"
10,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,4,84,x,0,9,"SEM TIPO INFORMADO"
11,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,5,81,x,0,10,"SEM TIPO INFORMADO"
12,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,5,88,x,0,11,"SEM TIPO INFORMADO"
13,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,5,90,x,0,12,"SEM TIPO INFORMADO"
14,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,5,91,x,0,13,"SEM TIPO INFORMADO"
15,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,6,81,x,0,14,"SEM TIPO INFORMADO"
16,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,6,85,x,0,15,"SEM TIPO INFORMADO"
17,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,13,87,x,0,16,"SEM TIPO INFORMADO"
18,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,13,88,x,0,17,"SEM TIPO INFORMADO"
19,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,13,92,x,0,18,"SEM TIPO INFORMADO"
20,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,20,88,x,0,19,"SEM TIPO INFORMADO"
21,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,28,84,x,0,20,"SEM TIPO INFORMADO"
22,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,28,87,x,0,21,"SEM TIPO INFORMADO"
23,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,28,88,x,0,22,"SEM TIPO INFORMADO"
24,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,29,82,x,0,23,"SEM TIPO INFORMADO"
25,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,29,90,x,0,24,"SEM TIPO INFORMADO"
26,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,29,91,x,0,25,"SEM TIPO INFORMADO"
27,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,30,82,x,0,26,"SEM TIPO INFORMADO"
28,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,30,84,x,0,27,"SEM TIPO INFORMADO"
29,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,30,86,x,0,28,"SEM TIPO INFORMADO"
30,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,30,89,x,0,29,"SEM TIPO INFORMADO"
31,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,30,90,x,0,30,"SEM TIPO INFORMADO"
32,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,30,91,x,0,31,"SEM TIPO INFORMADO"
33,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,32,85,x,0,32,"SEM TIPO INFORMADO"
34,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,32,87,x,0,33,"SEM TIPO INFORMADO"
35,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,34,84,x,0,34,"SEM TIPO INFORMADO"
36,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,34,92,x,0,35,"SEM TIPO INFORMADO"
37,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,35,83,x,0,36,"SEM TIPO INFORMADO"
38,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,35,90,x,0,37,"SEM TIPO INFORMADO"
39,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,36,84,x,0,38,"SEM TIPO INFORMADO"
40,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,36,85,x,0,39,"SEM TIPO INFORMADO"
41,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,36,88,x,0,40,"SEM TIPO INFORMADO"
42,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,39,84,x,0,41,"SEM TIPO INFORMADO"
43,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,39,89,x,0,42,"SEM TIPO INFORMADO"
44,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,42,86,x,0,43,"SEM TIPO INFORMADO"
45,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,42,89,x,0,44,"SEM TIPO INFORMADO"
46,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,42,90,x,0,45,"SEM TIPO INFORMADO"
47,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,42,92,x,0,46,"SEM TIPO INFORMADO"
48,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,43,84,x,0,47,"SEM TIPO INFORMADO"
49,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,43,86,x,0,48,"SEM TIPO INFORMADO"
50,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,46,83,x,0,49,"SEM TIPO INFORMADO"
51,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,46,86,x,0,50,"SEM TIPO INFORMADO"
52,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,46,87,x,0,51,"SEM TIPO INFORMADO"
53,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,46,92,x,0,52,"SEM TIPO INFORMADO"
54,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,47,84,x,0,53,"SEM TIPO INFORMADO"
55,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,47,88,x,0,54,"SEM TIPO INFORMADO"
56,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,48,87,x,0,55,"SEM TIPO INFORMADO"
57,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,48,89,x,0,56,"SEM TIPO INFORMADO"
58,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,48,91,x,0,57,"SEM TIPO INFORMADO"
59,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,50,82,x,0,58,"SEM TIPO INFORMADO"
60,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,56,87,x,0,59,"SEM TIPO INFORMADO"
61,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,68,86,x,0,60,"SEM TIPO INFORMADO"
62,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,71,88,x,0,61,"SEM TIPO INFORMADO"
63,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,72,83,x,0,62,"SEM TIPO INFORMADO"
64,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,72,85,x,0,63,"SEM TIPO INFORMADO"
65,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,73,86,x,0,64,"SEM TIPO INFORMADO"
66,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,73,89,x,0,65,"SEM TIPO INFORMADO"
67,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,75,90,x,0,66,"SEM TIPO INFORMADO"
68,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,84,85,x,0,67,"SEM TIPO INFORMADO"
69,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,85,88,x,0,68,"SEM TIPO INFORMADO"
70,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,86,83,x,0,69,"SEM TIPO INFORMADO"
71,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,86,89,x,0,70,"SEM TIPO INFORMADO"
72,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,95,82,x,0,71,"SEM TIPO INFORMADO"
73,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,95,83,x,0,72,"SEM TIPO INFORMADO"
74,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,97,92,x,0,73,"SEM TIPO INFORMADO"
75,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,98,85,x,0,74,"SEM TIPO INFORMADO"
76,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,98,88,x,0,75,"SEM TIPO INFORMADO"
77,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,99,91,x,0,76,"SEM TIPO INFORMADO"
78,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,100,82,x,0,77,"SEM TIPO INFORMADO"
79,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,101,91,x,0,78,"SEM TIPO INFORMADO"
80,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,102,88,x,0,79,"SEM TIPO INFORMADO"
81,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,105,91,x,0,80,"SEM TIPO INFORMADO"
82,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,110,86,x,0,81,"SEM TIPO INFORMADO"
83,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,110,88,x,0,82,"SEM TIPO INFORMADO"
84,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,111,86,x,0,83,"SEM TIPO INFORMADO"
85,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,111,91,x,0,84,"SEM TIPO INFORMADO"
86,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,112,86,x,0,85,"SEM TIPO INFORMADO"
87,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,113,88,x,0,86,"SEM TIPO INFORMADO"
88,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,113,90,x,0,87,"SEM TIPO INFORMADO"
89,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,114,82,x,0,88,"SEM TIPO INFORMADO"
90,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,114,90,x,0,89,"SEM TIPO INFORMADO"
91,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,122,87,x,0,90,"SEM TIPO INFORMADO"
92,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,122,89,x,0,91,"SEM TIPO INFORMADO"
93,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,123,87,x,0,92,"SEM TIPO INFORMADO"
94,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,123,90,x,0,93,"SEM TIPO INFORMADO"
95,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,124,85,x,0,94,"SEM TIPO INFORMADO"
96,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,125,91,x,0,95,"SEM TIPO INFORMADO"
97,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,126,84,x,0,96,"SEM TIPO INFORMADO"
98,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,126,86,x,0,97,"SEM TIPO INFORMADO"
99,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,126,90,x,0,98,"SEM TIPO INFORMADO"
100,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,126,92,x,0,99,"SEM TIPO INFORMADO"
