valor_liquidado,valor_pago,valor_empenhado,cod_fonte,cod_credor,cod_modalidade_licitacao,cod_empenho,cod_acao,cod_tempo,codigo
3300,0,3300,0,3471,71,7244,15,20211201,4974
148382,148382,0,0,4731,31,39850,114,20210501,7176
120,0,0,0,393,39,39076,138,20211201,1641
5160.51,5160.51,0,0,757,16,64028,131,20210501,2210
8000,8000,8000,0,1742,40,6558,94,20211201,2903
6948.36,6948.36,6948.36,0,4745,71,8269,102,20211101,7316
0,0,-296,0,65,39,38792,138,20211201,1208
0,0,-416,0,404,39,39107,138,20211201,1673
972802.89,972802.89,972802.89,0,0,0,108,29,20211001,107
2400,0,2400,0,2956,64,87970,77,20211001,4261
1000,1000,1000,0,211,3,5996,100,20211201,1349
1800,0,1800,0,2619,64,87214,77,20210901,3505
0,0,-40000,0,4946,30,65375,127,20211101,8152
0,3201.81,0,0,806,16,64207,122,20210501,2406
0,0,23960,0,4731,31,39843,51,20210301,7169
500,500,0,0,3030,65,88147,112,20211101,4438
0,0,3421.03,0,5376,30,40876,44,20210701,9806
25637.74,25637.74,0,0,4973,30,65412,104,20210701,8293
0,104.39,0,0,2249,71,6952,98,20210501,3298
1200,1200,1200,0,2605,64,87169,78,20210901,3460
34886.64,34886.64,0,0,3798,46,64868,112,20210701,5744
2500,2500,0,0,3579,71,64718,122,20210501,5352
0,0,13303.92,0,4950,31,40265,51,20210501,8156
2200,2200,0,0,4935,30,65353,98,20211201,8094
127082.66,0,0,0,4657,66,39699,133,20210301,6888
16666.6,16666.6,0,0,5323,30,40823,114,20210601,9679
0,0,962,0,113,3,5932,51,20210401,1275
0,3520,0,0,2619,64,87213,77,20210901,3504
-100,-100,-100,0,0,0,691,100,20210401,690
102980.56,102980.56,102980.56,0,0,0,77,41,20211101,76
0,10669.24,0,0,806,16,64208,122,20210501,2407
12000,12000,12000,0,1089,40,6323,110,20210701,2668
2141069.07,0,2141069.07,0,3219,71,7105,151,20211201,4791
0,0,0,0,956,40,6263,94,20211201,2608
0,449.4,0,0,2057,71,6711,74,20210801,3057
0,0,2758.4,0,3526,71,64548,121,20210201,5166
0,2345,0,0,4576,21,7913,121,20210901,6371
2209.03,2209.03,0,0,4483,71,64893,121,20211201,6011
0,0,544.8,0,5018,31,40326,114,20210301,8388
0,0,896,0,317,39,38976,138,20210901,1510
619.77,619.77,619.77,0,0,0,37,41,20210301,36
3553.5,0,3553.5,0,5267,40,9040,110,20210301,9518
0,0,955,0,4959,3,8558,121,20210701,8187
1009.68,1009.68,1009.68,0,4537,71,7779,98,20211201,6121
63.5,0,0,0,4805,71,39997,100,20210601,7570
79152.71,79152.71,0,0,4624,71,39596,121,20210201,6598
500,500,500,0,3173,71,88452,121,20210801,4743
