key,version,date_to,date_from,nome,codigo
0,1,"2038-01-01 03:00:00","1970-01-01 03:00:01","Sem nome",0
1,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","NÃO INFORMADA",0
2,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,1
3,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,2
4,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,3
5,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,4
6,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,5
7,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,6
8,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,7
9,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,8
10,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,9
11,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","DISPENSADO-LEI 14.133/21",10
12,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,11
13,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,13
14,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,14
15,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,15
16,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,16
17,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","DISPENSADO-LEI 14.133/21",17
18,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,18
19,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,21
20,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,22
21,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,23
22,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,24
23,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,25
24,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","SELEÇÃO PUBLICA",26
25,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","SELEÇÃO PUBLICA",27
26,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,28
27,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",DISPENSADO,29
28,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","DISPENSADO-LEI 14.133/21",31
29,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",CONCURSO,34
