key,version,date_to,date_from,nome,codigo
0,1,"2038-01-01 03:00:00","1970-01-01 03:00:01","Sem nome",0
1,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","REQUALIFICAÇÃO DA MOBILIDADE URBANA - VIA MANGUE",1012
2,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","AMPLIAÇÃO E MELHORIA DA INFRAESTRUTURA URBANA",1028
3,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","DESENVOLVIMENTO DO PROJETO RECIFE 500 ANOS",1029
4,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","CONSTRUÇÃO, AMPLIAÇÃO E EQUIPAGEM DE UNIDADES DE SAÚDE",1032
5,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","REFORMA E EQUIPAGEM DE UNIDADES DE SAÚDE",1033
6,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","EXPANSÃO DA REDE FÍSICA DO ENSINO INFANTIL",1036
7,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","IMPLEMENTAÇÃO DE PROJETOS HABITACIONAIS",1038
8,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","EXPANSÃO DA REDE FÍSICA DO ENSINO FUNDAMENTAL",1043
9,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","MODERNIZAÇÃO ADMINISTRATIVA E TRANSFORMAÇÃO DIGITAL",1095
10,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","SANEAMENTO INTEGRADO",1252
11,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","EXPANSÃO E ATUALIZAÇÃO DO AMBIENTE DE TECNOLOGIA DA INFORMAÇÃO",1541
12,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","CONSOLIDAÇÃO E MELHORAMENTO DO SISTEMA VIÁRIO",1563
13,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","CONSOLIDAÇÃO DA REVITALIZAÇÃO DO BAIRRO DO RECIFE",1569
14,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","URBANIZAÇÃO DE ÁREAS DE RISCO",1574
15,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","REQUALIFICAÇÃO DOS CURSOS DE ÁGUA",1576
16,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","PROJETO CAPIBARIBE MELHOR",1577
17,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","URBANIZAÇÃO DA BACIA DO BEBERIBE",1579
18,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","CONSTRUÇÃO E RECUPERAÇÃO DE MERCADOS, FEIRAS E OUTROS ESPAÇOS PÚBLICOS",1587
19,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","REQUALIFICAÇÃO URBANÍSTICA E INCLUSÃO SOCIAL DA COMUNIDADE DO PILAR",1590
20,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","CONSTRUÇÃO E REQUALIFICAÇÃO DE ESPAÇOS DE INTERESSE PÚBLICO",1603
21,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","GESTÃO E APERFEIÇOAMENTO DO CONTROLE INTERNO E SOCIAL DA ADMINISTRAÇÃO MUNICIPAL",2015
22,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","GERENCIAMENTO DAS JUNTAS DE SERVIÇO MILITAR",2017
23,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","GESTÃO DO CADASTRO ÚNICO E PROGRAMA BOLSA FAMÍLIA",2018
24,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DA POLÍTICA URBANA E DE LICENCIAMENTO",2023
25,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DA POLÍTICA DE PROTEÇÃO ANIMAL",2026
26,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS MUNICIPAIS DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL",2027
27,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DA POLÍTICA DE ESPORTES",2028
28,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","IMPLEMENTAÇÃO DAS AÇÕES DE PROMOÇÃO E DEFESA DOS DIREITOS HUMANOS",2029
29,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS MUNICIPAIS DA PROCURADORIA GERAL DO MUNICÍPIO",2030
30,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","AÇÕES PARA O DESENVOLVIMENTO DA CIDADE SUSTENTÁVEL",2032
31,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS DE EDUCAÇÃO",2035
32,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","APOIO ADMINISTRATIVO ÀS AÇÕES DE EDUCAÇÃO DA REDE MUNICIPAL DE ENSINO",2036
33,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS TRIBUTÁRIA E FINANCEIRA DO MUNICÍPIO",2041
34,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","PROMOVER A GESTÃO E A ARTICULAÇÃO DAS AÇÕES AMBIENTAIS",2042
35,1,"2038-01-01 03:00:00","1970-01-01 03:00:00","MANUTENÇÃO DOS SISTEMAS DE ESGOTAMENTO SANITÁRIO",2044
